,index,timestamp,open,high,low,close,volume
0,0,2023-06-22 21:35:00,1884.32,1884.32,1880.34,1881.64,1332.4578
1,1,2023-06-22 21:40:00,1881.65,1882.12,1877.26,1878.6,1174.681
2,2,2023-06-22 21:45:00,1878.61,1880.78,1878.53,1879.59,853.102
3,3,2023-06-22 21:50:00,1879.6,1881.75,1878.83,1880.86,997.9941
4,4,2023-06-22 21:55:00,1880.86,1880.87,1878.92,1879.62,942.8005
5,5,2023-06-22 22:00:00,1879.63,1880.6,1875.74,1879.01,1999.62
6,6,2023-06-22 22:05:00,1879.0,1879.16,1877.59,1878.53,530.4644
7,7,2023-06-22 22:10:00,1878.54,1878.54,1877.61,1877.78,291.9879
8,8,2023-06-22 22:15:00,1877.79,1880.07,1876.04,1879.38,920.0136
9,9,2023-06-22 22:20:00,1879.38,1879.96,1877.64,1877.81,661.7424
10,10,2023-06-22 22:25:00,1877.81,1880.37,1877.81,1878.5,1149.8253
11,11,2023-06-22 22:30:00,1878.51,1879.4,1876.45,1877.63,623.6034
12,12,2023-06-22 22:35:00,1877.64,1877.93,1876.07,1877.92,652.0622
13,13,2023-06-22 22:40:00,1877.93,1879.44,1877.92,1878.72,659.2573
14,14,2023-06-22 22:45:00,1878.71,1879.32,1877.91,1878.4,449.7184
15,15,2023-06-22 22:50:00,1878.41,1879.0,1871.74,1872.19,2016.9238
16,16,2023-06-22 22:55:00,1872.19,1873.52,1869.31,1870.51,1618.9651
17,17,2023-06-22 23:00:00,1870.5,1872.71,1869.06,1869.87,1217.9892
18,18,2023-06-22 23:05:00,1869.86,1872.77,1867.07,1872.01,1446.4226
19,19,2023-06-22 23:10:00,1872.01,1873.23,1871.8,1872.7,591.0804
20,20,2023-06-22 23:15:00,1872.7,1874.56,1872.69,1874.31,504.0724
21,21,2023-06-22 23:20:00,1874.31,1875.02,1874.22,1874.8,287.8885
22,22,2023-06-22 23:25:00,1874.81,1875.25,1874.5,1875.04,228.2219
23,23,2023-06-22 23:30:00,1875.03,1875.4,1874.42,1875.13,188.6224
24,24,2023-06-22 23:35:00,1875.13,1876.54,1875.13,1875.37,326.2536
25,25,2023-06-22 23:40:00,1875.37,1875.37,1873.32,1874.61,334.6178
26,26,2023-06-22 23:45:00,1874.6,1876.52,1874.4,1875.62,438.6663
27,27,2023-06-22 23:50:00,1875.62,1875.79,1871.84,1872.5,486.7684
28,28,2023-06-22 23:55:00,1872.49,1872.88,1871.83,1872.01,370.2626
29,29,2023-06-23 00:00:00,1872.0,1875.43,1871.67,1875.25,1021.398
